년도,날짜,승패,상대,AVG_K,OPS_K,LI_K,WPA_K,HR/AB_K,SO/AB_K,ERA_K,WHIP_K,LI_K,WPA_K,SO/IP_K,AVG_R,OPS_R,LI_R,WPA_R,HR/AB_R,SO/AB_R,ERA_R,WHIP_R,LI_R,WPA_R,SO/IP_R
2018,3월 24일,0,kt,0.333,0.779,1.75,-0.225,0,0.222,5,1.33,1,-0.275,1,0.297,0.883,1.01,0.275,0.081,0.243,4,1.56,1.7,0.225,0.889
2018,3월 25일,1,kt,0.41,1.224,0.24,0.395,0.103,0.205,1,0.78,0.2,0.105,0.889,0.212,0.545,0.23,-0.105,0.03,0.242,15.75,2.38,0.2,-0.395,1
2018,3월 27일,1,삼성,0.389,1.494,0.3,0.282,0.167,0.278,0,0.89,0.3,0.218,0.556,0.188,0.454,0.32,-0.218,0,0.156,19.13,2.88,0.3,-0.282,1.25
2018,3월 28일,0,삼성,0.156,0.479,0.89,-0.386,0,0.156,6,1.78,0.6,-0.114,0.778,0.359,0.826,0.6,0.114,0.026,0.179,0,0.78,0.9,0.386,0.556
2018,3월 29일,1,삼성,0.394,1.08,0.61,0.147,0.061,0.212,0,1,0.8,0.353,1,0.107,0.372,0.84,-0.353,0,0.321,7.88,2.13,0.6,-0.147,0.875
2018,3월 30일,1,LG,0.286,0.742,0.91,0.093,0,0.286,3,1.44,2.1,0.407,0.667,0.278,0.711,2.1,-0.407,0,0.167,4,1.44,0.9,-0.093,1.111
2018,3월 31일,0,LG,0.194,0.58,1.3,-0.235,0,0.129,6.75,1.25,0.7,-0.265,0.625,0.273,0.831,0.71,0.265,0.061,0.152,4,1,1.3,0.235,0.444
2018,4월 1일,0,LG,0.273,0.823,1.78,0.097,0.061,0.061,6.23,1.73,1.3,-0.597,0.366,0.294,0.796,1.34,0.597,0.029,0.088,5,1.44,1.8,-0.097,0.222
2018,4월 3일,0,SK,0.161,0.648,0.33,0.061,0.065,0.226,14.63,2.13,0.3,-0.561,0.875,0.378,1.411,0.34,0.561,0.162,0.189,3,0.78,0.3,-0.061,0.778
2018,4월 4일,1,SK,0.432,1.151,1.55,0.554,0.068,0.091,5.4,1.1,1.2,-0.055,1.1,0.2,0.596,1.24,0.055,0.029,0.314,8.1,1.9,1.6,-0.554,0.4
2018,4월 6일,1,키움,0.4,1.029,0.96,0.518,0.025,0.225,5,1.44,0.9,-0.018,1.444,0.333,0.769,0.88,0.018,0.026,0.333,10.13,2.75,1,-0.518,1.125
2018,4월 7일,1,키움,0.3,0.797,0.43,0.229,0.033,0.2,1,1.44,0.8,0.271,0.667,0.286,0.656,0.83,-0.271,0,0.171,5.63,1.5,0.4,-0.229,0.75
2018,4월 8일,1,키움,0.29,0.806,1.3,0.328,0.065,0.226,3,1.67,1.7,0.172,0.667,0.342,0.892,1.7,-0.172,0.026,0.158,4.5,1.13,1.3,-0.328,0.875
2018,4월 10일,0,한화,0.242,0.598,1.28,-0.325,0,0.121,4.5,1.38,1.2,-0.175,1,0.233,0.794,1.22,0.175,0.067,0.267,3,1,1.3,0.325,0.444
2018,4월 11일,0,한화,0.212,0.581,1.35,-0.042,0.03,0.303,6.75,1.75,1.1,-0.458,0.375,0.355,0.82,1.14,0.458,0,0.097,4,1.11,1.4,0.042,1.111
2018,4월 12일,0,한화,0.206,0.653,0.29,-0.078,0.059,0.324,16.88,2.5,0.3,-0.422,0.875,0.425,1.202,0.28,0.422,0.05,0.175,4,1.11,0.3,0.078,1.222
2018,4월 13일,0,롯데,0.143,0.512,0.79,0.016,0.036,0.357,8,1.78,1.5,-0.516,1.222,0.289,0.846,1.51,0.516,0.026,0.289,3,0.78,0.8,-0.016,1.111
2018,4월 17일,1,LG,0.314,0.757,1.38,0.471,0,0.171,2,1.44,2,0.029,1,0.229,0.676,2.04,-0.029,0.029,0.257,4.5,2.13,1.4,-0.471,0.75
2018,4월 18일,1,LG,0.258,0.651,1.4,0.156,0,0.129,0,1.44,1.8,0.344,0.667,0.278,0.667,1.75,-0.344,0,0.167,4.5,1.38,1.4,-0.156,0.5
2018,4월 19일,1,LG,0.333,1.007,0.85,0.593,0.056,0.083,3,1,0.7,-0.093,0.778,0.229,0.564,0.73,0.093,0.029,0.2,9,1.63,0.9,-0.593,0.375
2018,4월 20일,0,두산,0.219,0.668,0.68,-0.269,0.031,0.156,6.75,1.75,0.7,-0.231,1,0.313,0.937,0.67,0.231,0.031,0.25,4,1.33,0.7,0.269,0.556
2018,4월 21일,0,두산,0.281,0.816,0.9,-0.164,0.031,0.188,11.25,2,0.6,-0.336,0.875,0.382,1.101,0.64,0.336,0.059,0.206,5,1.56,0.9,0.164,0.667
2018,4월 22일,1,두산,0.468,1.33,0.23,0.38,0.064,0.085,3,1.33,0.2,0.119,0.778,0.27,0.713,0.21,-0.119,0,0.189,14,2.78,0.2,-0.38,0.444
2018,4월 25일,0,한화,0.2,0.457,1.57,-0.343,0,0.229,3,0.89,1.1,-0.157,0.778,0.176,0.516,1.14,0.157,0.029,0.206,2,0.78,1.6,0.343,0.889
2018,4월 26일,0,한화,0.278,0.611,1.21,-0.338,0,0.028,3,1.11,1.8,-0.162,1,0.206,0.506,1.82,0.162,0,0.265,1,1.33,1.2,0.338,0.111
2018,4월 27일,1,kt,0.385,0.98,1.16,0.32,0.026,0.154,3,1,0.7,0.18,0.778,0.182,0.705,0.74,-0.18,0.061,0.212,8,2.11,1.2,-0.32,0.667
2018,4월 28일,0,kt,0.286,0.669,0.86,-0.198,0.029,0.114,10.13,2,0.6,-0.302,1,0.351,1.022,0.59,0.302,0.054,0.216,1,1.11,0.9,0.198,0.444
2018,4월 29일,0,kt,0.206,0.554,1.48,-0.347,0,0.265,3.38,1.13,0.6,-0.153,0.75,0.273,0.939,0.61,0.153,0.091,0.182,3,1.11,1.5,0.347,1
